Algoritm,Tip Lista,Dimensiune,Timp(s)
Bubble Sort,Aleatoare,10,0.000008
Insertion Sort,Aleatoare,10,0.000005
Selection Sort,Aleatoare,10,0.000006
Merge Sort,Aleatoare,10,0.000015
Quick Sort,Aleatoare,10,0.000009
Radix Sort,Aleatoare,10,0.000037
Bubble Sort,Aleatoare,50,0.000160
Insertion Sort,Aleatoare,50,0.000088
Selection Sort,Aleatoare,50,0.000092
Merge Sort,Aleatoare,50,0.000130
Quick Sort,Aleatoare,50,0.000093
Radix Sort,Aleatoare,50,0.000127
Bubble Sort,Aleatoare,100,0.000598
Insertion Sort,Aleatoare,100,0.000281
Selection Sort,Aleatoare,100,0.000274
Merge Sort,Aleatoare,100,0.000229
Quick Sort,Aleatoare,100,0.000162
Radix Sort,Aleatoare,100,0.000205
Bubble Sort,Aleatoare,1000,0.065881
Insertion Sort,Aleatoare,1000,0.030162
Selection Sort,Aleatoare,1000,0.029095
Merge Sort,Aleatoare,1000,0.003567
Quick Sort,Aleatoare,1000,0.002483
Radix Sort,Aleatoare,1000,0.002196
Bubble Sort,Aleatoare,5000,1.833499
Insertion Sort,Aleatoare,5000,0.795551
Selection Sort,Aleatoare,5000,0.757893
Merge Sort,Aleatoare,5000,0.024043
Quick Sort,Aleatoare,5000,0.015546
Radix Sort,Aleatoare,5000,0.010408
Bubble Sort,Aleatoare,15000,13.570551
Insertion Sort,Aleatoare,15000,5.905136
Selection Sort,Aleatoare,15000,5.841536
Merge Sort,Aleatoare,15000,0.053248
Quick Sort,Aleatoare,15000,0.041386
Radix Sort,Aleatoare,15000,0.021949
Merge Sort,Aleatoare,50000,0.202321
Quick Sort,Aleatoare,50000,0.136071
Radix Sort,Aleatoare,50000,0.111647
Merge Sort,Aleatoare,100000,0.429762
Quick Sort,Aleatoare,100000,0.289859
Radix Sort,Aleatoare,100000,0.335602
Merge Sort,Aleatoare,1000000,6.060699
Quick Sort,Aleatoare,1000000,5.336984
Radix Sort,Aleatoare,1000000,3.164592
Merge Sort,Aleatoare,10000000,72.961556
Quick Sort,Aleatoare,10000000,68.641584
Radix Sort,Aleatoare,10000000,35.267170
Bubble Sort,Sortata,10,0.000002
Insertion Sort,Sortata,10,0.000003
Selection Sort,Sortata,10,0.000005
Merge Sort,Sortata,10,0.000015
Quick Sort,Sortata,10,0.000012
Radix Sort,Sortata,10,0.000006
Bubble Sort,Sortata,50,0.000004
Insertion Sort,Sortata,50,0.000005
Selection Sort,Sortata,50,0.000059
Merge Sort,Sortata,50,0.000078
Quick Sort,Sortata,50,0.000044
Radix Sort,Sortata,50,0.000029
Bubble Sort,Sortata,100,0.000010
Insertion Sort,Sortata,100,0.000012
Selection Sort,Sortata,100,0.000235
Merge Sort,Sortata,100,0.000186
Quick Sort,Sortata,100,0.000124
Radix Sort,Sortata,100,0.000070
Bubble Sort,Sortata,1000,0.000122
Insertion Sort,Sortata,1000,0.000206
Selection Sort,Sortata,1000,0.029534
Merge Sort,Sortata,1000,0.002652
Quick Sort,Sortata,1000,0.001705
